,timestamp,CO2 HLR Inlet,CO2 HLR Exhaust
0,2025-07-24 12:10:00,446.5,482.0
1,2025-07-24 12:11:00,902.5,617.5
2,2025-07-24 12:12:00,1803.5,1101.0
3,2025-07-24 12:13:00,2081.0,1285.0
4,2025-07-24 12:14:00,2175.5,1325.0
5,2025-07-24 12:15:00,2227.5,1353.0
6,2025-07-24 12:16:00,2279.0,1374.0
7,2025-07-24 12:17:00,2294.5,1383.5
8,2025-07-24 12:18:00,2303.5,1391.5
9,2025-07-24 12:19:00,2324.5,1402.5
10,2025-07-24 12:20:00,2334.5,1417.0
11,2025-07-24 12:21:00,2339.5,1424.0
12,2025-07-24 12:22:00,2339.0,1429.0
13,2025-07-24 12:23:00,2351.0,1436.5
14,2025-07-24 12:24:00,2354.5,1445.0
15,2025-07-24 12:25:00,2357.5,1456.0
16,2025-07-24 12:26:00,2358.0,1462.5
17,2025-07-24 12:27:00,2363.5,1467.0
18,2025-07-24 12:28:00,2361.5,1477.0
19,2025-07-24 12:29:00,2364.0,1483.0
20,2025-07-24 12:30:00,2365.5,1492.0
21,2025-07-24 12:31:00,2371.0,1505.5
22,2025-07-24 12:32:00,2381.5,1519.0
23,2025-07-24 12:33:00,2382.5,1524.0
24,2025-07-24 12:34:00,2378.5,1527.5
25,2025-07-24 12:35:00,2378.5,1537.0
26,2025-07-24 12:36:00,2378.5,1549.0
27,2025-07-24 12:37:00,2378.5,1556.5
28,2025-07-24 12:38:00,2378.5,1565.0
29,2025-07-24 12:39:00,2392.0,1579.0
30,2025-07-24 12:40:00,2397.5,1591.5
31,2025-07-24 12:41:00,2398.5,1602.5
32,2025-07-24 12:42:00,2392.0,1611.0
33,2025-07-24 12:43:00,2395.0,1617.0
34,2025-07-24 12:44:00,2401.0,1632.0
35,2025-07-24 12:45:00,2394.5,1644.0
36,2025-07-24 12:46:00,2395.0,1651.0
37,2025-07-24 12:47:00,2397.5,1671.5
38,2025-07-24 12:48:00,2400.5,1687.0
39,2025-07-24 12:49:00,2403.0,1690.0
40,2025-07-24 12:50:00,2403.5,1701.0
41,2025-07-24 12:51:00,2408.0,1713.5
42,2025-07-24 12:52:00,2415.0,1730.5
43,2025-07-24 12:53:00,2411.5,1733.0
44,2025-07-24 12:54:00,2411.5,1737.5
45,2025-07-24 12:55:00,2411.5,1750.0
46,2025-07-24 12:56:00,2408.0,1760.5
47,2025-07-24 12:57:00,2411.5,1770.5
48,2025-07-24 12:58:00,2412.5,1778.5
49,2025-07-24 12:59:00,2416.5,1788.5
50,2025-07-24 13:00:00,2417.0,1800.5
51,2025-07-24 13:01:00,2413.5,1810.0
52,2025-07-24 13:02:00,2416.5,1819.5
53,2025-07-24 13:03:00,2420.5,1833.5
54,2025-07-24 13:04:00,2422.0,1841.5
55,2025-07-24 13:05:00,2418.5,1847.0
56,2025-07-24 13:06:00,2421.5,1862.5
57,2025-07-24 13:07:00,2426.5,1875.0
58,2025-07-24 13:08:00,2430.0,1884.0
59,2025-07-24 13:09:00,2426.0,1892.0
60,2025-07-24 13:10:00,2426.0,1901.5
61,2025-07-24 13:11:00,2428.5,1914.0
62,2025-07-24 13:12:00,2426.5,1920.5
63,2025-07-24 13:13:00,2426.5,1927.0
64,2025-07-24 13:14:00,2429.0,1939.0
65,2025-07-24 13:15:00,2433.5,1946.5
66,2025-07-24 13:16:00,2432.5,1949.0
67,2025-07-24 13:17:00,2435.0,1952.5
68,2025-07-24 13:18:00,2440.0,1967.0
69,2025-07-24 13:19:00,2439.5,1978.5
70,2025-07-24 13:20:00,2443.0,1985.5
71,2025-07-24 13:21:00,2443.5,1994.0
72,2025-07-24 13:22:00,2450.0,1998.0
73,2025-07-24 13:23:00,2441.5,2003.0
74,2025-07-24 13:24:00,2443.0,2006.0
75,2025-07-24 13:25:00,2442.5,2015.5
76,2025-07-24 13:26:00,2445.0,2019.5
77,2025-07-24 13:27:00,2445.0,2023.0
78,2025-07-24 13:28:00,2452.0,2033.5
79,2025-07-24 13:29:00,2453.0,2051.5
80,2025-07-24 13:30:00,2453.0,2058.5
81,2025-07-24 13:31:00,2452.0,2060.0
82,2025-07-24 13:32:00,2452.5,2057.0
83,2025-07-24 13:33:00,2459.5,2070.0
84,2025-07-24 13:34:00,2461.0,2083.5
85,2025-07-24 13:35:00,2456.0,2085.0
86,2025-07-24 13:36:00,2459.0,2090.0
87,2025-07-24 13:37:00,2460.5,2095.0
88,2025-07-24 13:38:00,2461.5,2117.5
89,2025-07-24 13:39:00,2453.5,2120.0
90,2025-07-24 13:40:00,2445.5,2105.0
91,2025-07-24 13:41:00,2453.0,2110.5
92,2025-07-24 13:42:00,2454.0,2122.0
93,2025-07-24 13:43:00,2459.0,2141.0
94,2025-07-24 13:44:00,2467.5,2153.5
95,2025-07-24 13:45:00,2470.0,2155.5
96,2025-07-24 13:46:00,2467.0,2158.5
97,2025-07-24 13:47:00,2466.5,2158.5
98,2025-07-24 13:48:00,2467.5,2156.0
99,2025-07-24 13:49:00,2468.0,2162.0
100,2025-07-24 13:50:00,2466.0,2165.5
101,2025-07-24 13:51:00,2468.5,2168.5
102,2025-07-24 13:52:00,2472.0,2173.0
103,2025-07-24 13:53:00,2464.0,2177.5
104,2025-07-24 13:54:00,2464.0,2178.5
105,2025-07-24 13:55:00,2465.5,2180.5
106,2025-07-24 13:56:00,2474.5,2193.0
107,2025-07-24 13:57:00,2477.5,2197.0
108,2025-07-24 13:58:00,2476.5,2199.5
109,2025-07-24 13:59:00,2476.5,2203.0
110,2025-07-24 14:00:00,2481.0,2209.5
111,2025-07-24 14:01:00,2472.5,2214.5
112,2025-07-24 14:02:00,2476.0,2211.5
113,2025-07-24 14:03:00,2483.5,2166.0
114,2025-07-24 14:04:00,2485.5,2197.5
115,2025-07-24 14:05:00,2498.5,2233.5
116,2025-07-24 14:06:00,2544.0,2273.0
117,2025-07-24 14:07:00,2576.5,2309.0
118,2025-07-24 14:08:00,2584.0,2325.0
119,2025-07-24 14:09:00,2584.0,2331.0
120,2025-07-24 14:10:00,2586.5,2328.0
121,2025-07-24 14:11:00,2589.0,2335.5
122,2025-07-24 14:12:00,2596.0,2347.5
123,2025-07-24 14:13:00,2599.0,2354.5
124,2025-07-24 14:14:00,2601.5,2358.0
125,2025-07-24 14:15:00,2602.0,2359.5
126,2025-07-24 14:16:00,2596.5,2354.5
127,2025-07-24 14:17:00,2591.0,2358.5
128,2025-07-24 14:18:00,2608.0,2368.0
129,2025-07-24 14:19:00,2603.0,2374.5
130,2025-07-24 14:20:00,2600.0,2371.5
131,2025-07-24 14:21:00,2599.5,2374.5
132,2025-07-24 14:22:00,2603.0,2383.0
133,2025-07-24 14:23:00,2604.5,2389.0
134,2025-07-24 14:24:00,2605.5,2390.5
135,2025-07-24 14:25:00,2611.5,2399.0
136,2025-07-24 14:26:00,2614.0,2404.0
137,2025-07-24 14:27:00,2605.0,2395.0
138,2025-07-24 14:28:00,2607.0,2397.5
139,2025-07-24 14:29:00,2620.5,2404.5
140,2025-07-24 14:30:00,2622.0,2412.0
141,2025-07-24 14:31:00,2613.0,2409.0
142,2025-07-24 14:32:00,2612.0,2403.0
143,2025-07-24 14:33:00,2615.0,2408.5
144,2025-07-24 14:34:00,2614.5,2409.5
145,2025-07-24 14:35:00,2623.0,2412.5
146,2025-07-24 14:36:00,2619.5,2420.0
147,2025-07-24 14:37:00,2619.0,2430.0
148,2025-07-24 14:38:00,2620.0,2429.0
149,2025-07-24 14:39:00,2620.0,2430.0
150,2025-07-24 14:40:00,2622.5,2427.5
151,2025-07-24 14:41:00,2639.0,2429.0
152,2025-07-24 14:42:00,2622.0,2427.5
153,2025-07-24 14:43:00,2617.5,2430.5
154,2025-07-24 14:44:00,2626.0,2436.5
155,2025-07-24 14:45:00,2626.0,2445.0
156,2025-07-24 14:46:00,2626.0,2443.5
157,2025-07-24 14:47:00,2633.5,2445.0
158,2025-07-24 14:48:00,2637.5,2453.5
159,2025-07-24 14:49:00,2637.5,2455.5
160,2025-07-24 14:50:00,2637.0,2454.5
161,2025-07-24 14:51:00,2637.5,2455.5
162,2025-07-24 14:52:00,2641.5,2459.0
163,2025-07-24 14:53:00,2637.5,2456.0
164,2025-07-24 14:54:00,2637.0,2454.5
165,2025-07-24 14:55:00,2641.0,2458.0
166,2025-07-24 14:56:00,2635.0,2459.0
167,2025-07-24 14:57:00,2631.5,2454.0
168,2025-07-24 14:58:00,2631.0,2446.0
169,2025-07-24 14:59:00,2635.5,2454.0
