,timestamp,CO2 Inlet,Co2 Regen
0,2025-07-30 08:45:00,456.0,496.5
1,2025-07-30 08:46:00,455.0,493.5
2,2025-07-30 08:47:00,453.5,489.5
3,2025-07-30 08:48:00,452.0,483.0
4,2025-07-30 08:49:00,447.0,477.5
5,2025-07-30 08:50:00,433.5,475.5
6,2025-07-30 08:51:00,429.5,475.5
7,2025-07-30 08:52:00,436.5,476.5
8,2025-07-30 08:53:00,438.5,476.5
9,2025-07-30 08:54:00,629.5,470.0
10,2025-07-30 08:55:00,1672.5,908.5
11,2025-07-30 08:56:00,2092.5,1200.0
12,2025-07-30 08:57:00,2210.5,1259.5
13,2025-07-30 08:58:00,2284.0,1276.5
14,2025-07-30 08:59:00,2296.0,1288.0
15,2025-07-30 09:00:00,2311.0,1299.0
16,2025-07-30 09:01:00,2337.0,1320.5
17,2025-07-30 09:02:00,2342.0,1339.5
18,2025-07-30 09:03:00,2346.5,1344.5
19,2025-07-30 09:04:00,2350.0,1361.0
20,2025-07-30 09:05:00,2356.5,1378.5
21,2025-07-30 09:06:00,2353.5,1384.5
22,2025-07-30 09:07:00,2354.0,1396.5
23,2025-07-30 09:08:00,2357.5,1414.0
24,2025-07-30 09:09:00,2345.0,1425.0
25,2025-07-30 09:10:00,2346.5,1438.0
26,2025-07-30 09:11:00,2349.0,1449.0
27,2025-07-30 09:12:00,2347.5,1463.5
28,2025-07-30 09:13:00,2341.5,1465.0
29,2025-07-30 09:14:00,2347.0,1473.5
30,2025-07-30 09:15:00,2349.0,1486.5
31,2025-07-30 09:16:00,2347.0,1493.0
32,2025-07-30 09:17:00,2341.0,1504.0
33,2025-07-30 09:18:00,2347.0,1513.0
34,2025-07-30 09:19:00,2338.0,1517.5
35,2025-07-30 09:20:00,2333.0,1523.5
36,2025-07-30 09:21:00,2340.0,1532.5
37,2025-07-30 09:22:00,2338.5,1542.5
38,2025-07-30 09:23:00,2330.5,1546.0
39,2025-07-30 09:24:00,2333.0,1556.0
40,2025-07-30 09:25:00,2333.0,1575.0
41,2025-07-30 09:26:00,2330.5,1581.0
42,2025-07-30 09:27:00,2326.5,1592.0
43,2025-07-30 09:28:00,2330.5,1605.5
44,2025-07-30 09:29:00,2323.0,1614.5
45,2025-07-30 09:30:00,2322.5,1620.5
46,2025-07-30 09:31:00,2325.5,1633.0
47,2025-07-30 09:32:00,2325.0,1642.5
48,2025-07-30 09:33:00,2324.0,1648.0
49,2025-07-30 09:34:00,2331.0,1662.0
50,2025-07-30 09:35:00,2329.5,1679.0
51,2025-07-30 09:36:00,2320.5,1682.0
52,2025-07-30 09:37:00,2322.5,1687.5
53,2025-07-30 09:38:00,2333.5,1702.5
54,2025-07-30 09:39:00,2326.5,1713.0
55,2025-07-30 09:40:00,2330.5,1721.0
56,2025-07-30 09:41:00,2333.5,1734.5
57,2025-07-30 09:42:00,2325.5,1740.0
58,2025-07-30 09:43:00,2321.0,1748.0
59,2025-07-30 09:44:00,2325.0,1763.0
60,2025-07-30 09:45:00,2330.0,1778.0
61,2025-07-30 09:46:00,2323.5,1786.5
62,2025-07-30 09:47:00,2326.0,1793.0
63,2025-07-30 09:48:00,2332.5,1804.0
64,2025-07-30 09:49:00,2333.0,1813.0
65,2025-07-30 09:50:00,2333.0,1819.5
66,2025-07-30 09:51:00,2330.5,1830.0
67,2025-07-30 09:52:00,2329.0,1839.0
68,2025-07-30 09:53:00,2324.0,1838.5
69,2025-07-30 09:54:00,2330.5,1846.5
70,2025-07-30 09:55:00,2333.0,1856.5
71,2025-07-30 09:56:00,2334.0,1859.5
72,2025-07-30 09:57:00,2329.5,1866.0
73,2025-07-30 09:58:00,2331.0,1881.0
74,2025-07-30 09:59:00,2332.0,1890.0
75,2025-07-30 10:00:00,2327.5,1891.5
76,2025-07-30 10:01:00,2331.5,1899.0
77,2025-07-30 10:02:00,2332.5,1912.0
78,2025-07-30 10:03:00,2331.0,1917.0
79,2025-07-30 10:04:00,2330.0,1922.0
80,2025-07-30 10:05:00,2339.0,1935.5
81,2025-07-30 10:06:00,2339.0,1942.5
82,2025-07-30 10:07:00,2333.5,1947.0
83,2025-07-30 10:08:00,2338.0,1952.0
84,2025-07-30 10:09:00,2333.5,1962.0
85,2025-07-30 10:10:00,2331.5,1964.0
86,2025-07-30 10:11:00,2334.5,1967.0
87,2025-07-30 10:12:00,2336.5,1976.5
88,2025-07-30 10:13:00,2334.0,1983.5
89,2025-07-30 10:14:00,2331.5,1988.5
90,2025-07-30 10:15:00,2337.0,1995.0
91,2025-07-30 10:16:00,2333.0,2007.0
92,2025-07-30 10:17:00,2330.0,2015.5
93,2025-07-30 10:18:00,2337.5,2024.0
94,2025-07-30 10:19:00,2338.5,2031.0
95,2025-07-30 10:20:00,2334.0,2029.0
96,2025-07-30 10:21:00,2331.5,2033.0
97,2025-07-30 10:22:00,2339.0,2050.0
98,2025-07-30 10:23:00,2337.5,2058.0
99,2025-07-30 10:24:00,2336.0,2061.5
100,2025-07-30 10:25:00,2341.5,2062.5
101,2025-07-30 10:26:00,2342.5,2074.0
102,2025-07-30 10:27:00,2339.0,2077.0
103,2025-07-30 10:28:00,2339.5,2084.5
104,2025-07-30 10:29:00,2348.0,2095.0
105,2025-07-30 10:30:00,2339.0,2099.0
106,2025-07-30 10:31:00,2331.0,2097.5
107,2025-07-30 10:32:00,2334.0,2098.5
108,2025-07-30 10:33:00,2340.5,2104.5
109,2025-07-30 10:34:00,2337.5,2113.0
110,2025-07-30 10:35:00,2339.5,2115.5
111,2025-07-30 10:36:00,2343.0,2116.0
112,2025-07-30 10:37:00,2339.0,2125.5
113,2025-07-30 10:38:00,2338.0,2121.5
114,2025-07-30 10:39:00,2339.5,2121.0
115,2025-07-30 10:40:00,2343.0,2129.0
116,2025-07-30 10:41:00,2338.5,2131.0
117,2025-07-30 10:42:00,2341.0,2133.5
118,2025-07-30 10:43:00,2348.5,2143.5
119,2025-07-30 10:44:00,2349.5,2150.5
120,2025-07-30 10:45:00,2342.5,2152.0
121,2025-07-30 10:46:00,2349.5,2156.5
122,2025-07-30 10:47:00,2350.0,2154.0
123,2025-07-30 10:48:00,2343.0,2153.0
124,2025-07-30 10:49:00,2347.5,2164.0
125,2025-07-30 10:50:00,2346.5,2170.5
126,2025-07-30 10:51:00,2347.0,2171.5
127,2025-07-30 10:52:00,2347.5,2171.0
128,2025-07-30 10:53:00,2347.5,2170.0
129,2025-07-30 10:54:00,2345.5,2169.0
130,2025-07-30 10:55:00,2348.0,2169.5
131,2025-07-30 10:56:00,2347.0,2170.0
132,2025-07-30 10:57:00,2346.5,2173.0
133,2025-07-30 10:58:00,2349.0,2176.5
134,2025-07-30 10:59:00,2343.5,2177.0
135,2025-07-30 11:00:00,2345.0,2177.5
136,2025-07-30 11:01:00,2349.5,2184.5
137,2025-07-30 11:02:00,2350.0,2188.5
138,2025-07-30 11:03:00,2347.5,2192.5
139,2025-07-30 11:04:00,2355.0,2196.0
140,2025-07-30 11:05:00,2356.0,2198.5
141,2025-07-30 11:06:00,2356.0,2199.0
142,2025-07-30 11:07:00,2356.0,2203.0
143,2025-07-30 11:08:00,2356.5,2205.0
144,2025-07-30 11:09:00,2356.5,2202.5
145,2025-07-30 11:10:00,2356.0,2204.5
146,2025-07-30 11:11:00,2357.0,2205.5
147,2025-07-30 11:12:00,2355.5,2209.5
148,2025-07-30 11:13:00,2353.0,2211.0
149,2025-07-30 11:14:00,2349.0,2201.0
150,2025-07-30 11:15:00,2358.0,2213.5
151,2025-07-30 11:16:00,2354.5,2211.0
152,2025-07-30 11:17:00,2353.0,2203.5
153,2025-07-30 11:18:00,2354.0,2203.5
154,2025-07-30 11:19:00,2354.5,2205.0
155,2025-07-30 11:20:00,2348.5,2203.0
156,2025-07-30 11:21:00,2348.0,2199.5
157,2025-07-30 11:22:00,2345.0,2205.0
158,2025-07-30 11:23:00,2348.5,2203.0
159,2025-07-30 11:24:00,2347.0,2205.0
160,2025-07-30 11:25:00,2349.0,2204.5
161,2025-07-30 11:26:00,2349.5,2203.5
162,2025-07-30 11:27:00,2343.5,2201.5
163,2025-07-30 11:28:00,2351.0,2210.0
164,2025-07-30 11:29:00,2348.0,2209.5
165,2025-07-30 11:30:00,2347.0,2212.5
