,timestamp,CO2 Inlet,Co2 Regen
0,2025-07-22 08:41:00,467.828222,263.301606
1,2025-07-22 08:42:00,1292.102302,395.2741985
2,2025-07-22 08:43:00,2617.354187,1007.4023935
3,2025-07-22 08:44:00,3028.965542,1334.2451545
4,2025-07-22 08:45:00,3188.773782,1446.000669
5,2025-07-22 08:46:00,3228.725842,1499.3512915000001
6,2025-07-22 08:47:00,3269.729272,1531.9232505
7,2025-07-22 08:48:00,3290.756672,1554.9482560000001
8,2025-07-22 08:49:00,3317.5666069999997,1588.0818005
9,2025-07-22 08:50:00,3329.1316770000003,1627.3927855000002
10,2025-07-22 08:51:00,3336.4912670000003,1674.5659675
11,2025-07-22 08:52:00,3328.605992,1704.8915845
12,2025-07-22 08:53:00,3316.515237,1730.7245174999998
13,2025-07-22 08:54:00,3312.309757,1766.6659895
14,2025-07-22 08:55:00,3320.720717,1802.0458760000001
15,2025-07-22 08:56:00,3321.7720870000003,1833.4946639999998
16,2025-07-22 08:57:00,3314.938182,1871.6824780000002
17,2025-07-22 08:58:00,3298.116262,1903.6928515
18,2025-07-22 08:59:00,3289.705302,1926.717857
19,2025-07-22 09:00:00,3290.230987,1958.166645
20,2025-07-22 09:01:00,3300.744687,1991.3001895
21,2025-07-22 09:02:00,3294.962152,2024.433734
22,2025-07-22 09:03:00,3276.563177,2042.40447
23,2025-07-22 09:04:00,3269.7292719999996,2053.63618
24,2025-07-22 09:05:00,3262.895367,2071.6069159999997
25,2025-07-22 09:06:00,3264.998107,2091.2624084999998
26,2025-07-22 09:07:00,3261.843997,2115.410585
27,2025-07-22 09:08:00,3259.7412569999997,2138.4355905
28,2025-07-22 09:09:00,3243.970707,2157.5294974999997
29,2025-07-22 09:10:00,3236.085432,2174.9386480000003
30,2025-07-22 09:11:00,3239.2395420000003,2204.7026795
31,2025-07-22 09:12:00,3241.867967,2236.1514675
32,2025-07-22 09:13:00,3241.3422819999996,2265.3539135
33,2025-07-22 09:14:00,3227.148787,2287.255748
34,2025-07-22 09:15:00,3221.366252,2311.96551
35,2025-07-22 09:16:00,3225.046047,2337.2368575
36,2025-07-22 09:17:00,3232.405637,2369.8088165
37,2025-07-22 09:18:00,3231.8799520000002,2407.9966305
38,2025-07-22 09:19:00,3224.520362,2424.8441955
39,2025-07-22 09:20:00,3212.429607,2428.775294
40,2025-07-22 09:21:00,3216.6350869999997,2442.8149315
41,2025-07-22 09:22:00,3222.417622,2475.948476
42,2025-07-22 09:23:00,3228.200157,2500.658238
43,2025-07-22 09:24:00,3230.828582,2530.4222695
44,2025-07-22 09:25:00,3217.160772,2536.0381245
